DO,DATE,CUSTOMER CODE,CUSTOMER,LPO,
125020836,13/12/2025,HO01030,ENGINEERING TEAM SERVICES (L.L.C),6521 ETS SHJ.,
125020837,13/12/2025,HO02903,SPACE ELECTROMECHANICAL WORKS (L.L.C),2876,
125020838,13/12/2025,HO01735,VOLTFLUX ELECTROMECHANICAL WORKS L.L.C,CARD--,
125020839,13/12/2025,HO02685,SQUARE FOUR ELECTROMECHANICAL PLUMBING CONTRACTING LLC,10561,
125020840,13/12/2025,HO02833,BOND INTERIOR DESIGN LLC,65918,
125020841,13/12/2025,HO02751,SOFT FITTING PIPES & FITTINGS TRADING CO. L.L.C,8642,
125020842,13/12/2025,HO01892,KHALID AL MOHAISIN TRADING EST,3623,
125020843,13/12/2025,HO02792,AL HAAET AL THABIT BUILDING CONTRACTING (CASH),CO250490,
125020844,13/12/2025,HO03114,ALHAFA ELECTROMECHANICAL EQUIP. INST. & MAINT. CO.,CARD--,
125020845,13/12/2025,HO01742,AKAMU TRADING COMPANY L.L.C,25/01531,
125020846,13/12/2025,HO02319,NASCON ENGINEERING,CASH123,
125020847,13/12/2025,HO02319,NASCON ENGINEERING,CASH---123,
125020848,13/12/2025,HO02319,NASCON ENGINEERING,CASH123,
125020849,13/12/2025,HO00056,VERISTAR BUILDING CONTRACTING L.L.C,#N/A,
125020850,13/12/2025,HO01030,ENGINEERING TEAM SERVICES (L.L.C),#N/A,
125020851,13/12/2025,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,#N/A,
125020852,13/12/2025,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,#N/A,
125020853,13/12/2025,HO02746,MAHE BUILDING MATERIAL TRADING LLC (CASH),#N/A,
125020854,13/12/2025,HO02328,AL JAZEERAH AL SAFRAA BLDG. MAT. TR. LLC,#N/A,
125020855,13/12/2025,HO02540,DEBIT CUSTOMER ( CASH ),#N/A,
125020856,13/12/2025,HO01030,ENGINEERING TEAM SERVICES (L.L.C),#N/A,
125020857,13/12/2025,HO02268,Replacement A/c - Zenith,#N/A,
125020858,13/12/2025,HO02371,Replacement A/c,#N/A,
