DO,CUSTOMER CODE,CUSTOMER,LPO
126001885,HO02809,NUVAC GLOBAL TRADING LLC,PO-00557
126001886,HO00677,AL BOOM TRADING CO LLC,1433
126001887,HO03157,AL MASAR BUILDING CONTRACTING (L.L.C),11196
126001888,HO02685,SQUARE FOUR ELECTROMECHANICAL PLUMBING CONTRACTING LLC,11209
126001889,HO03170,ENGINEERING CONSTRUCTION & RECONSTRUCTION CO L.L.C,70234
126001890,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,AB-126000086
126001891,HO02540,DEBIT CUSTOMER ( CASH ),CASH..1
126001892,HO02540,DEBIT CUSTOMER ( CASH ),CASH. KRISHNAN.
126001894,HO01779,ATREJ BUILDING MATERIALS TRADING,2373
126001895,HO01779,ATREJ BUILDING MATERIALS TRADING,2372
126001896,HO02287,ENERNOUVA SOLAR ENERGY SYSTEMS INSTALLATION L.L.C,PO-01986
126001897,HO02287,ENERNOUVA SOLAR ENERGY SYSTEMS INSTALLATION L.L.C,PO-01987
126001898,HO03067,ROYAL ALLIED BUILDING MATERIALS TRADING CO.L.L.C,PO26/005426
126001899,HO02540,DEBIT CUSTOMER ( CASH ),CASH KRISHNAN SIR
126001900,HO02272,GMCO ELECTROMECHANICAL WORKS LLC,LPO/P46/25/6565
126001901,HO03073,AL NASIYA GENERAL CONTRACTING LLC CO,LPO-71533
126001903,HO02272,GMCO ELECTROMECHANICAL WORKS LLC,LPO/P46/26/6618
126001904,HO03237,A&M INTERNATIONAL ELECTROMECANICAL WORKS - S.P L.L.C.,POM0002355
126001905,HO03067,ROYAL ALLIED BUILDING MATERIALS TRADING CO.L.L.C,PO26/005441
126001906,HO02955,ARCO ZEST BUILDING MATERIALS TRADING L.L.C,PO/2020/30740
126001907,HO01027,ELMA ELECTROMECHANICAL CO LLC,POD-26/0278
126001908,HO02540,DEBIT CUSTOMER ( CASH ),CASH A E DESIGN INNOVATION
126001909,HO01027,ELMA ELECTROMECHANICAL CO LLC,POD-25/4405
126001910,HO00541,HEAT&POWER TECHNICAL SERVICES LLC,122501233
126001911,HO01030,ENGINEERING TEAM SERVICES (L.L.C),6521 ETS SHJ.
126001912,HO01030,ENGINEERING TEAM SERVICES (L.L.C),6616 ETS SHJ
126001913,HO03021,AQUAGAS (L.L.C),CASH AQUAGAS
126001914,HO02540,DEBIT CUSTOMER ( CASH ),CASH.
126001915,HO02460,PLUS PALACE GENERAL CONTRACTING L.L.C BRANCH,102604793
126001916,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,AB-126000087
126001917,HO02914,FABTECH MODULAR BUILDINGS L.L.C,FMB-DU/PO/212600180
126001918,HO02347,DEYAR ALKHALEEJ TECH. CONT. L.L.C. SP,13474
126001919,HO00556,TRANS EMIRATES ELECT & MECH WORKS LLC,26/44801
126001920,HO00556,TRANS EMIRATES ELECT & MECH WORKS LLC,26/44723
126001921,HO02789,SAFE PLUS TECHNICAL SERVICES L.L.C,PO/TS/2026/0256
126001922,HO02789,SAFE PLUS TECHNICAL SERVICES L.L.C,PO/TS/2026/0254
126001923,HO02789,SAFE PLUS TECHNICAL SERVICES L.L.C,PO/TS/2026/0255
126001924,HO02789,SAFE PLUS TECHNICAL SERVICES L.L.C,PO/TS/2026/0257
126001925,HO03160,SADIKIN TECHNICAL SERVICES CO. L.L.C,126000757 BANK TRANSFER
126001926,HO00556,TRANS EMIRATES ELECT & MECH WORKS LLC,26/44797
126001927,HO03160,SADIKIN TECHNICAL SERVICES CO. L.L.C,126000600 BANK TR
126001928,HO02920,SPACE FACILITIES MANAGEMENT L.L.C,2552
126001929,HO02968,CITY LIGHT BUILDING MATERIALS,CLMB/LPO/7251/2026
126001930,HO02733,CA GRANDBUILDING MATERIAL TRDG LLC,26100
126001931,HO02997,STEEL LINE TRADING L.L.C,PO-01599
126001932,HO02809,NUVAC GLOBAL TRADING LLC,PO-00634
126001933,HO02347,DEYAR ALKHALEEJ TECH. CONT. L.L.C. SP,13474
126001934,HO02347,DEYAR ALKHALEEJ TECH. CONT. L.L.C. SP,13412
126001935,HO02347,DEYAR ALKHALEEJ TECH. CONT. L.L.C. SP,13474
126001936,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,AB-126000089
126001937,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,AB-126000088
126001938,HO00729,NASRAIN HARDWARES,CO260193
126001939,HO01887,FINE TOOLS TRADING (L.L.C),14-1431073
126001940,HO03174,FIVE BUILDING MATERIALS TRADING L.L.C,PO054004
126001941,HO01742,AKAMU TRADING COMPANY L.L.C,26/00152
126001942,HO00900,FAKHRI TOOLS & WORKSHOP MATERIALS TRADING LLC,FT/MAIN/2026/637
126001943,HO02526,STAR COSMOS SANITARY & ELECTRICALS TRADING,32439
126001944,SD00432,CRAW FORD HARDWARE AND ELECTRICAL TRADING - L.L.C - S.P.C,POI-26-141
126001945,HO01758,AL MUSHTARI BUILDING MATERIALS (LLC),4821
126001946,HO00675,AL AMRI TRAD. COMPANY LLC,980
126001947,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,
126001948,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,
126001949,HO02367,Replacement Ariston,
126001950,HO03273,DESERT CHILLER TECHNICAL SERVICES CO. L.L.C,
126001951,HO03237,A&M INTERNATIONAL ELECTROMECANICAL WORKS - S.P L.L.C.,
126001952,HO02272,GMCO ELECTROMECHANICAL WORKS LLC,
126001953,HO03237,A&M INTERNATIONAL ELECTROMECANICAL WORKS - S.P L.L.C.,
126001954,HO03130,PRO DYNAMIC ELECTROMECHANICAL WORKS LLC,
126001955,HO02272,GMCO ELECTROMECHANICAL WORKS LLC,
126001956,HO03154,R A INTERNATIONAL FZCO,
126001957,HO01027,ELMA ELECTROMECHANICAL CO LLC,
126001958,HO02318,MBM GULF ELECTROMECHANICAL LLC,
126001959,HO00541,HEAT&POWER TECHNICAL SERVICES LLC,
126001960,HO01030,ENGINEERING TEAM SERVICES (L.L.C),
126001961,HO01027,ELMA ELECTROMECHANICAL CO LLC,
126001962,HO01027,ELMA ELECTROMECHANICAL CO LLC,
126001963,HO02722,DOVE CONTRACTING LLC,
126001964,HO02739,MAXPOWER ELECTROMECHANICAL CONTRACTING L.L.C,
126001965,HO03003,K FOUR TECHNICAL SERVICES L.L.C,
126001966,HO02540,DEBIT CUSTOMER ( CASH ),
126001967,HO02540,DEBIT CUSTOMER ( CASH ),
126001968,HO02540,DEBIT CUSTOMER ( CASH ),
126001969,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,
126001970,HO03067,ROYAL ALLIED BUILDING MATERIALS TRADING CO.L.L.C,
126001971,HO00998,AL HAMAD BLDG CONT. CO. L.L.C,
126001972,HO02846,MICROBUILT CONTRACTING L.L.C (CASH),
126001973,HO02460,PLUS PALACE GENERAL CONTRACTING L.L.C BRANCH,
126001974,HO02319,NASCON ENGINEERING,
126001975,HO03160,SADIKIN TECHNICAL SERVICES CO. L.L.C,
126001976,HO01913,BHATIA GENERAL CONTRACTING CO. (L.L.C.),
126001977,HO02586,CODES CONSTRUCTION L L C,
126001978,HO03298,TETRA EDGE CONTRACTING L.L.C,
126001979,HO03170,ENGINEERING CONSTRUCTION & RECONSTRUCTION CO L.L.C,
126001982,HO03170,ENGINEERING CONSTRUCTION & RECONSTRUCTION CO L.L.C,
126001983,HO03162,I O N MEP CONTRACTING L.L.C,
126001984,HO02944,BARBUDA ELECTROMECHANICAL WORKS,
126001985,HO03273,DESERT CHILLER TECHNICAL SERVICES CO. L.L.C,
126001986,HO01089,EAST COAST CONTRACTING & TRADING LLC,
126001987,HO02798,PRIME TECHNOLOGIES LLC,
126001988,HO02586,CODES CONSTRUCTION L L C,
126001989,HO03078,INNOVATE BUILDING MATERIALS - L.L.C,
126001990,HO02540,DEBIT CUSTOMER ( CASH ),
126001991,HO00955,QUALITY METAL EQP & BLD MAT,
126001992,HO02931,SMART EAGLE BUILDING MATERIALS - L.L.C - O.P.C,
126001993,HO02685,SQUARE FOUR ELECTROMECHANICAL PLUMBING CONTRACTING LLC,
126001994,HO00576,AL MUHANAD MECH CONT L.L.C,
126001995,HO00461,BOWYER WICK BUILDING CONTRACTING LLC,
126001996,HO02540,DEBIT CUSTOMER ( CASH ),
126001997,HO00541,HEAT&POWER TECHNICAL SERVICES LLC,
126001998,HO00594,Conversion Electromechanical Co. L.L.C,
126001999,HO00734,POWER PLUS ELECTRICAL EQUIPMENT & BUILDING MAT TRDG LLC,
126002000,HO00941,AL NAS BUILDING MATERIALS TRADING LLC,
126002001,HO02756,AL MARIYA HARDWARES LLC,
126002002,HO02312,GOLDEN WAY ELECT.WARE TRD. LLC,
126002003,HO03195,AL SAFRAD ELECTROMECHANICAL WORKS,
126002004,HO03067,ROYAL ALLIED BUILDING MATERIALS TRADING CO.L.L.C,
126002005,HO00762,Afnan Elect. & Sanitary ware Tr.,
126002006,HO02792,AL HAAET AL THABIT BUILDING CONTRACTING (CASH),
126002007,HO02853,EXPERT GENERAL TRADING L.L.C - S.P.C,
126002008,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,
126002009,HO00430,ALABAMA BUILDING MATERIALS TRADING L.L.C,
126002010,HO02404,FIRST OPTION CONTRACTING LLC,
126002011,HO00584,ATHEER AL JAZIRAH ELECTROMEC WORKS LLC,
126002012,HO02272,GMCO ELECTROMECHANICAL WORKS LLC,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
